id_patient,norm_cc_clear,norm_cc_mpc,dice_static_moving,dice_static_warped_moving,dice_moving_static,dice_moving_warped_static,dice_static_warped_moving_mpc,dice_moving_warped_static_mpc,time,time_per_iteration,num_bits,gigabytes,rmse_forward,rmse_backward
1,-896650.1597962962,-717822.4053562514,0.6672499999999999,0.83275,0.6672499999999999,0.8315,0.8227499999999999,0.823,620.4114007949829,23.86197695365319,33699329408,3.9231182783842087,0.22015671,0.22160144
2,-611583.1440485253,-558209.8291822207,0.31525,0.32725,0.31525,0.34225,0.33375,0.346,619.1052858829498,23.81174176472884,33609334272,3.91264146566391,0.26732948,0.24121167
3,-810929.6301966839,-718297.3000154508,0.6200000000000001,0.6695,0.6200000000000001,0.666,0.66025,0.65625,627.3704838752747,24.129633995202873,34240897792,3.9861651360988617,0.21216886,0.20218429
4,-1256423.5242264166,-1089908.9428877272,0.6705,0.88025,0.6705,0.8800000000000001,0.8777499999999999,0.8792500000000001,627.2970128059387,24.126808184843796,34249838976,3.9872060269117355,0.22975966,0.24798538
5,-832281.9886324578,-764454.0543025804,0.56025,0.7745,0.56025,0.77675,0.7702500000000001,0.7705,626.0759885311127,24.079845712735104,34301836544,3.9932593405246735,0.13261919,0.16159175
6,-732531.0372487135,-613470.7281166518,0.42625,0.5555,0.42625,0.59075,0.55225,0.57925,617.6628437042236,23.756263219393215,33794157568,3.9341577291488647,0.21538165,0.21976377
7,-902396.5216974191,-789730.1700515385,0.41150000000000003,0.53625,0.41150000000000003,0.56225,0.5309999999999999,0.55175,629.1027581691742,24.196259929583622,34312524928,3.9945036321878433,0.2841685,0.28683692
8,-1159839.702354658,-989754.3879693168,0.6455000000000001,0.85825,0.6455000000000001,0.838,0.85025,0.8294999999999999,621.2326447963715,23.893563261398903,33829885568,3.9383170157670975,0.20147416,0.20639773
